nu-0	False	[S[u'italy']]	[S[u'none']]
nu-1	True	[N(100000.000000)[u'100,000']]	[S[u'100,000']]
nu-2	False	[N(17.000000)[u'17 years']]	[S[u'none']]
nu-3	True	[D(1995,1,26)[u'january 26, 1995']]	[S[u'january 26, 1995']]
nu-4	True	[N(17.000000)[u'17']]	[N(17.000000)[u'17']]
nu-5	True	[S[u'world junior championships']]	[S[u'world junior championships']]
nu-6	True	[N(15.000000)[u'15']]	[N(15.000000)[u'15']]
nu-7	True	[N(363.000000)[u'363']]	[N(363.000000)[u'363']]
nu-8	True	[S[u'1982-1985']]	[S[u'1982-1985']]
nu-9	True	[N(2000.000000)[u'2000']]	[N(2000.000000)[u'2000']]
nu-10	False	[N(2004.000000)[u'2004'], N(2005.000000)[u'2005'], N(2006.000000)[u'2006']]	[N(1978.000000)[u'1978']]
nu-11	False	[S[u'john']]	[S[u'jamie cureton']]
nu-12	False	[N(440.000000)[u'440']]	[S[u'none']]
nu-13	False	[N(7.000000)[u'7']]	[S[u'none']]
nu-14	False	[S[u'space']]	[S[u'[]']]
nu-15	False	[N(68.000000)[u'68']]	[N(0.000000)[u'0.0']]
nu-16	True	[S[u'tomomi manako']]	[S[u'tomomi manako']]
nu-17	True	[N(5.000000)[u'5']]	[N(5.000000)[u'5']]
nu-18	True	[S[u'vidant bertie hospital']]	[S[u'vidant bertie hospital']]
nu-19	False	[N(492111.000000)[u'492,111']]	[S[u'none']]
nu-20	True	[N(1.000000)[u'1']]	[N(1.000000)[u'1']]
nu-21	False	[S[u'brazil']]	[S[u'total']]
nu-22	True	[N(7.000000)[u'7']]	[N(7.000000)[u'7']]
nu-23	False	[S[u'brindabella']]	[S[u'sayonara']]
nu-24	True	[S[u'gl-b-6']]	[S[u'gl-b-6']]
nu-25	False	[N(3.000000)[u'3']]	[N(8.000000)[u'8']]
nu-26	False	[N(20.000000)[u'20']]	[N(0.000000)[u'0']]
nu-27	True	[S[u'simon makienok christoffersen']]	[S[u'simon makienok christoffersen']]
nu-28	True	[N(9.000000)[u'9']]	[N(9.000000)[u'9']]
nu-29	False	[N(1.000000)[u'1']]	[S[u'none']]
nu-30	False	[S[u'pennsylvania avenue metro extra line']]	[S[u'none']]
nu-31	False	[S[u'dw stadium']]	[S[u'twickenham stoop']]
nu-32	True	[N(2.000000)[u'2']]	[N(2.000000)[u'2']]
nu-33	False	[S[u'1914-15']]	[S[u'none']]
nu-34	False	[S[u'jahaira novgorodova'], S[u'carmen jenockova'], S[u'anastasija larkova'], S[u'mariesea mnesicu'], S[u'patricia valiahmetova']]	[S[u'jahaira novgorodova']]
nu-35	False	[N(0.000000)[u'0']]	[N(7.000000)[u'7']]
nu-36	True	[N(4.000000)[u'4']]	[N(4.000000)[u'4']]
nu-37	False	[N(10.000000)[u'10']]	[N(0.000000)[u'0']]
nu-38	True	[N(2.000000)[u'2']]	[N(2.000000)[u'2']]
nu-39	False	[N(2005.000000)[u'2005']]	[N(2004.000000)[u'2004']]
nu-40	True	[N(5.000000)[u'5']]	[N(5.000000)[u'5']]
nu-41	False	[S[u'clint dempsey']]	[S[u'landon donovan']]
nu-42	False	[S[u"st. mary's church"]]	[S[u'st nikolai']]
nu-43	False	[S[u'independent']]	[S[u'none']]
nu-44	False	[N(1992.000000)[u'1992']]	[N(2014.000000)[u'2014']]
nu-45	False	[N(504000.000000)[u'504,000']]	[N(1008.000000)[u'1008.0']]
nu-46	False	[N(20.000000)[u'20']]	[N(12.000000)[u'12']]
nu-47	True	[N(7.000000)[u'7']]	[N(7.000000)[u'7']]
nu-48	False	[S[u'ecuador'], S[u'chile']]	[S[u'chile']]
nu-49	False	[N(1.000000)[u'1']]	[N(0.000000)[u'0']]
nu-50	True	[S[u'carlin']]	[S[u'carlin']]
nu-51	False	[N(10.000000)[u'10']]	[N(11.000000)[u'11']]
nu-52	True	[S[u'yankton']]	[S[u'yankton']]
nu-53	False	[N(1935.000000)[u'1935']]	[S[u'1935-1962']]
nu-54	True	[S[u'david russell']]	[S[u'david russell']]
nu-55	True	[S[u'world championships']]	[S[u'world championships']]
nu-56	False	[N(460252.000000)[u'460,252']]	[N(18009.000000)[u'18009']]
nu-57	True	[S[u'mig-15']]	[S[u'mig-15']]
nu-58	False	[S[u'esther shahamorov']]	[S[u"ze'ev friedman"]]
nu-59	False	[S[u'no']]	[S[u'none']]
nu-60	False	[S[u'giant slalom']]	[S[u'none']]
nu-61	True	[S[u's']]	[S[u's']]
nu-62	True	[S[u'ph.d']]	[S[u'ph.d']]
nu-63	True	[N(18.000000)[u'18']]	[N(18.000000)[u'18']]
nu-64	True	[N(5.000000)[u'5']]	[N(5.000000)[u'5']]
nu-65	False	[S[u'alissa joanndova']]	[S[u'anastasija nindova']]
nu-66	False	[D(2010,12,6)[u'december 6, 2010']]	[S[u'march 4, 2006']]
nu-67	True	[N(1.000000)[u'1']]	[N(1.000000)[u'1']]
nu-68	True	[N(18.000000)[u'18']]	[N(18.000000)[u'18']]
nu-69	True	[S[u'justiciar']]	[S[u'justiciar']]
nu-70	True	[S[u'karolina pliskova']]	[S[u'karolina pliskova']]
nu-71	True	[N(2.000000)[u'2']]	[N(2.000000)[u'2']]
nu-72	True	[N(2003.000000)[u'2003']]	[N(2003.000000)[u'2003']]
nu-73	True	[N(9.000000)[u'9']]	[N(9.000000)[u'9']]
nu-74	True	[N(3.000000)[u'3']]	[N(3.000000)[u'3']]
nu-75	True	[N(4.000000)[u'4']]	[N(4.000000)[u'4']]
nu-76	False	[N(1926.000000)[u'1926']]	[N(142.000000)[u'142']]
nu-77	True	[N(736.000000)[u'736']]	[N(736.000000)[u'736']]
nu-78	True	[S[u'mike conway']]	[S[u'mike conway']]
nu-79	True	[S[u'athens, greece']]	[S[u'athens, greece']]
nu-80	True	[N(3.000000)[u'3']]	[N(3.000000)[u'3']]
nu-81	True	[N(5.000000)[u'5']]	[N(5.000000)[u'5']]
nu-82	False	[N(1.000000)[u'1']]	[N(0.000000)[u'0']]
nu-83	True	[S[u'doriano romboni']]	[S[u'doriano romboni']]
nu-84	True	[S[u'wigan warriors']]	[S[u'wigan warriors']]
nu-85	True	[N(14.000000)[u'14']]	[N(14.000000)[u'14']]
nu-86	True	[N(4.000000)[u'4']]	[N(4.000000)[u'4']]
nu-87	False	[S[u'1965-1970']]	[S[u'1950-1955']]
nu-88	False	[S[u'russia']]	[S[u'kremlin cup, russia']]
nu-89	True	[N(2.000000)[u'2']]	[N(2.000000)[u'2']]
nu-90	False	[N(2.000000)[u'2']]	[S[u'none']]
nu-91	False	[S[u'usa']]	[N(1.000000)[u'1']]
nu-92	True	[S[u'yes']]	[S[u'yes']]
nu-93	True	[N(1928.000000)[u'1928']]	[N(1928.000000)[u'1928']]
nu-94	False	[N(11.000000)[u'11']]	[N(7.000000)[u'7']]
nu-95	True	[N(22.000000)[u'22']]	[N(22.000000)[u'22']]
nu-96	False	[N(1560000000.000000)[u'$1.56 billion']]	[N(0.000000)[u'0.0']]
nu-97	True	[D(2011,10,-1)[u'october 2011']]	[S[u'october 2011']]
nu-98	True	[S[u'mike imrie']]	[S[u'mike imrie']]
nu-99	True	[S[u'chester township, ohio']]	[S[u'chester township, ohio']]
nu-100	True	[S[u'kyrylo fesenko']]	[S[u'kyrylo fesenko']]
nu-101	False	[S[u'blue train']]	[S[u'\\blue train (of the heartbreak line)\\""']]
nu-102	False	[S[u'yelena kondulaynen']]	[S[u'[]']]
nu-103	True	[S[u'westwood']]	[S[u'westwood']]
nu-104	False	[N(6.000000)[u'6 days']]	[N(0.000000)[u'0']]
nu-105	False	[S[u'henk van de lagemaat']]	[S[u'loris capirossi']]
nu-106	True	[N(2011.000000)[u'2011']]	[N(2011.000000)[u'2011']]
nu-107	True	[S[u'africa']]	[S[u'africa']]
nu-108	True	[S[u'1939/40']]	[S[u'1939/40']]
nu-109	False	[N(11.000000)[u'11']]	[S[u'none']]
nu-110	True	[N(3.000000)[u'3']]	[N(3.000000)[u'3']]
nu-111	True	[N(0.000000)[u'0']]	[N(0.000000)[u'0']]
nu-112	False	[N(1.000000)[u'1']]	[S[u'none']]
nu-113	True	[N(3.000000)[u'3']]	[N(3.000000)[u'3']]
nu-114	False	[N(29.000000)[u'29']]	[N(28.000000)[u'28']]
nu-115	True	[S[u'sean mcloughlin']]	[S[u'sean mcloughlin']]
nu-116	False	[S[u'yes']]	[S[u'august 20, 1988']]
nu-117	False	[S[u'joel smith']]	[S[u'artem wallace']]
nu-118	False	[D(-1,10,17)[u'october 17']]	[S[u'november 14']]
nu-119	False	[N(3.000000)[u'3']]	[S[u'3 - 0']]
nu-120	True	[N(6.000000)[u'6']]	[N(6.000000)[u'6']]
nu-121	True	[S[u'france']]	[S[u'france']]
nu-122	True	[N(6.000000)[u'6']]	[N(6.000000)[u'6']]
nu-123	False	[S[u'becket']]	[S[u'spring']]
nu-124	False	[N(10.000000)[u'10']]	[N(9.000000)[u'9']]
nu-125	True	[S[u'republican']]	[S[u'republican']]
nu-126	True	[S[u'united states']]	[S[u'united states']]
nu-127	True	[S[u'2010-11']]	[S[u'2010-11']]
nu-128	True	[D(2005,8,27)[u'27 august 2005']]	[S[u'27 august 2005']]
nu-129	False	[N(7.000000)[u'7']]	[N(2.000000)[u'2']]
