id	utterance	context	targetValue	valueExistsInCsv	gptPrediction	gptQuality
nu-0	which country had the most cyclists finish within the top 10?	csv/203-csv/733.csv	Italy	False	Spain	False
nu-1	how many people were murdered in 1940/41?	csv/204-csv/149.csv	100,000	True	100,000	True
nu-2	how long did it take for the new york americans to win the national cup after 1936?	csv/203-csv/435.csv	17 years	False	20 years	False
nu-3	alfie's birthday party aired on january 19. what was the airdate of the next episode?	csv/204-csv/803.csv	January 26, 1995	True	January 26	False
nu-4	what is the number of 1st place finishes across all events?	csv/204-csv/272.csv	17	False	18	False
nu-5	in which competition did hopley finish fist?	csv/204-csv/483.csv	World Junior Championships	True	World Junior Championships	True
nu-6	what is the total number of films with the language of kannada listed?	csv/203-csv/463.csv	15	False	17	False
nu-7	what was the number of people attending the toros mexico vs. monterrey flash game?	csv/204-csv/875.csv	363	True	363	True
nu-8	what time period had no shirt sponsor?	csv/203-csv/329.csv	1982-1985	False	1982–1985|1986–1988|1988–1989|1991–1993|1993–1994|1994–1995|1995–1996|1996–1997	False
nu-9	when was his first 1st place record?	csv/203-csv/395.csv	2000	False	2000	True
nu-10	in which three consecutive years was the record the same?	csv/204-csv/645.csv	2004|2005|2006	False	1970|1971|1972	False
nu-11	does pat or john have the highest total?	csv/204-csv/925.csv	John	False	John O'Flynn	False
nu-12	what is the combined score of year end rankings before 2009?	csv/203-csv/381.csv	440	False	Unable to extract answer	False
nu-13	how many more ships were wrecked in lake huron than in erie?	csv/204-csv/797.csv	7	False	8	False
nu-14	what is the only character with a blank c string?	csv/203-csv/128.csv	space	True	space	True
nu-15	what was the total number of points scored by the tide in the last 3 games combined.	csv/203-csv/62.csv	68	False	71	False
nu-16	who came immediately after sebastian porto in the race?	csv/204-csv/892.csv	Tomomi Manako	True	Tomomi Manako	True
nu-17	what's the total number of festivals that occurred in october?	csv/203-csv/402.csv	5	False	5	True
nu-18	what is the only hospital to have 6 hospital beds?	csv/203-csv/319.csv	Vidant Bertie Hospital	True	FirstHealth Moore Regional Hospital Hoke Campus	False
nu-19	what is the total number of skoda cars sold in the year 2005?	csv/204-csv/21.csv	492,111	True	549,667	False
nu-20	what was the number of times won on grass?	csv/204-csv/758.csv	1	False	1	True
nu-21	who won the most gold medals?	csv/204-csv/76.csv	Brazil	True	Brazil	True
nu-22	total wins by belgian riders	csv/204-csv/417.csv	7	False	Unable to extract answer	False
nu-23	what yacht had the next best time (smaller time is better) than ausmaid?	csv/203-csv/286.csv	Brindabella	True	Ragamuffin	False
nu-24	what match comes after gl-b-5?	csv/204-csv/896.csv	GL-B-6	True	GL-B-6	True
nu-25	how many times was amanda on the judging panel?	csv/203-csv/178.csv	3	False	8	False
nu-26	how many awards has leona lewis won?	csv/203-csv/63.csv	20	False	20	True
nu-27	who was the top scorer in the last season?	csv/203-csv/307.csv	Simon Makienok Christoffersen	False	Michael Krohn-Dehli	False
nu-28	how many jury members were there?	csv/204-csv/827.csv	9	False	14	False
nu-29	how many times was the val d'lsere, france location used?	csv/203-csv/779.csv	1	True	1	True
nu-30	what is the name listed before mount pleasant line?	csv/204-csv/50.csv	Pennsylvania Avenue Metro Extra Line	True	Unable to extract answer	False
